,date,type,registration,operator,fat.,location,Unnamed: 6,pic,cat,url
158,14-OCT-2011,Tupolev Tu-134A-3,RA-65143,Yamal Airlines,0,near Novy Urengoy...,,,A1,https://aviation-safety.net/database/record.php?id=20111014-2
159,17-OCT-2011,Learjet 31A,PR-JJV,Hospitais Associados de Pernambuco,0,near Goiânia-Sant...,,,A1,https://aviation-safety.net/database/record.php?id=20111017-0
160,18-OCT-2011,BN-2T Turbine Islander,RAN-49,Nepal Army,6,"Dhorpatan, B...",,,A1,https://aviation-safety.net/database/record.php?id=20111018-0
161,25-OCT-2011,Antonov An-26,,Yemen AF,4,Al-Anad Air ...,,,A1,https://aviation-safety.net/database/record.php?id=20111025-0
162,25-OCT-2011,Raytheon Beechjet 400A,HS-TPD,Civil Aviation Training Center,0,Bangkok-Don ...,,,O1,https://aviation-safety.net/database/record.php?id=20111025-1
163,25-OCT-2011,Beech B300 Super King Air 350,HS-SLA,Siam Land Flying Company,0,Bangkok-Don ...,,,O1,https://aviation-safety.net/database/record.php?id=20111025-2
164,27-OCT-2011,Beech 100 King Air,C-GXRX,Northern Thunderbird Air,2,near Vancouver In...,,,A1,https://aviation-safety.net/database/record.php?id=20111027-0
165,30-OCT-2011,Ilyushin Il-76TD,4L-SKN,Sky Georgia,0,Erzurum Airp...,,,A1,https://aviation-safety.net/database/record.php?id=20111030-0
166,31-OCT-2011,Gulfstream G150,N480JJ,Jimmie Johnson Racing II,0,Key West Int...,,,A1,https://aviation-safety.net/database/record.php?id=20111031-0
167,??-OCT-2011,Antonov An-28,9Q-CSX,Swala Aviation,0,Shabunda Air...,,,A1,https://aviation-safety.net/database/record.php?id=20111099-0
168,01-NOV-2011,Boeing 767-35DER,SP-LPC,LOT,0,Warszawa-Fré...,,,A1,https://aviation-safety.net/database/record.php?id=20111101-0
169,10-NOV-2011,Fokker 50,5Y-VVK,Blue Bird Aviation,0,Guri'el Airs...,,,A1,https://aviation-safety.net/database/record.php?id=20111110-0
170,10-NOV-2011,Airbus A320-211,N331NW,Delta Air Lines,0,near Minneapolis-...,,,A2,https://aviation-safety.net/database/record.php?id=20111110-1
